# Waveguide preset: default
# Format: id, length_samples, input_tap, output_tap, filter_coeff, nonlinearity, gain, pan
# 50 waveguides with pink-distributed fundamentals (40Hz-1kHz at 48kHz)
# Waveguides 0-24: L channel input, 25-49: R channel input
0,1200,0.15,0.85,0.9985,0.25,0.022,-0.92
1,1100,0.22,0.78,0.9980,0.30,0.021,-0.84
2,1000,0.18,0.82,0.9975,0.28,0.020,-0.76
3,950,0.25,0.75,0.9982,0.22,0.019,-0.68
4,900,0.12,0.88,0.9978,0.35,0.021,-0.60
5,850,0.30,0.70,0.9970,0.20,0.018,-0.52
6,800,0.20,0.80,0.9983,0.32,0.020,-0.44
7,750,0.17,0.83,0.9976,0.28,0.019,-0.36
8,700,0.28,0.72,0.9988,0.18,0.022,-0.28
9,650,0.14,0.86,0.9972,0.38,0.017,-0.20
10,600,0.23,0.77,0.9979,0.24,0.020,-0.12
11,550,0.19,0.81,0.9985,0.30,0.018,-0.04
12,500,0.26,0.74,0.9968,0.35,0.019,0.04
13,480,0.11,0.89,0.9990,0.15,0.021,0.12
14,450,0.32,0.68,0.9974,0.28,0.020,0.20
15,420,0.16,0.84,0.9981,0.22,0.018,0.28
16,400,0.24,0.76,0.9977,0.32,0.019,0.36
17,380,0.21,0.79,0.9986,0.26,0.021,0.44
18,360,0.13,0.87,0.9969,0.40,0.016,0.52
19,340,0.29,0.71,0.9983,0.20,0.020,0.60
20,320,0.18,0.82,0.9978,0.34,0.019,0.68
21,300,0.25,0.75,0.9991,0.18,0.022,0.76
22,280,0.15,0.85,0.9973,0.36,0.017,0.84
23,260,0.27,0.73,0.9980,0.24,0.020,0.92
24,240,0.20,0.80,0.9984,0.28,0.021,0.96
25,1150,0.22,0.78,0.9982,0.26,0.021,-0.96
26,1050,0.18,0.82,0.9977,0.30,0.020,-0.88
27,980,0.25,0.75,0.9985,0.22,0.019,-0.80
28,920,0.14,0.86,0.9970,0.38,0.018,-0.72
29,870,0.28,0.72,0.9988,0.18,0.022,-0.64
30,820,0.21,0.79,0.9974,0.32,0.019,-0.56
31,770,0.17,0.83,0.9981,0.26,0.020,-0.48
32,720,0.30,0.70,0.9968,0.40,0.016,-0.40
33,680,0.12,0.88,0.9986,0.20,0.021,-0.32
34,630,0.24,0.76,0.9979,0.28,0.018,-0.24
35,580,0.19,0.81,0.9972,0.35,0.017,-0.16
36,530,0.26,0.74,0.9983,0.24,0.020,-0.08
37,490,0.15,0.85,0.9990,0.16,0.022,0.00
38,460,0.32,0.68,0.9975,0.30,0.019,0.08
39,430,0.23,0.77,0.9982,0.26,0.020,0.16
40,390,0.16,0.84,0.9969,0.38,0.016,0.24
41,370,0.27,0.73,0.9987,0.20,0.021,0.32
42,350,0.20,0.80,0.9976,0.32,0.018,0.40
43,330,0.13,0.87,0.9984,0.24,0.020,0.48
44,310,0.29,0.71,0.9971,0.36,0.017,0.56
45,290,0.22,0.78,0.9988,0.18,0.022,0.64
46,270,0.18,0.82,0.9978,0.28,0.019,0.72
47,250,0.25,0.75,0.9965,0.42,0.015,0.80
48,230,0.11,0.89,0.9985,0.22,0.021,0.88
49,210,0.28,0.72,0.9980,0.26,0.020,0.96
